"Subnet","Name","Vlan","Label","IP","TotalIPs","Prefix","Mask","Category"
"100.66.144.0/26","csu-edge-transport-compute","203","Broadcast","100.66.144.63","1","/26","255.255.255.192","Broadcast"
"100.66.144.64/26","csu-exchange-compute","102","Network","100.66.144.64","1","/26","255.255.255.192","Network"
"100.66.144.64/26","csu-exchange-compute","102","Gateway","100.66.144.65","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","TOR1-Switch","100.66.144.66","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","TOR2-Switch","100.66.144.67","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","LoadBalancerVIP","100.66.144.68","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.69","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.70","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.71","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.72","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Mailbox1","100.66.144.73","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.74","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Mailbox2","100.66.144.75","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.76","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Mailbox3","100.66.144.77","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.78","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Mailbox4","100.66.144.79","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Reserved","100.66.144.80","1","/26","255.255.255.192","Assignment"
"100.66.144.64/26","csu-exchange-compute","102","Unused Range","100.66.144.81 - 100.66.144.126","46","/26","255.255.255.192","Unused"
"100.66.144.64/26","csu-exchange-compute","102","Broadcast","100.66.144.127","1","/26","255.255.255.192","Broadcast"
"100.66.144.128/26","msu-compute","302","Network","100.66.144.128","1","/26","255.255.255.192","Network"
"100.66.144.128/26","msu-compute","302","Gateway","100.66.144.129","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","TOR1-Switch","100.66.144.130","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","TOR2-Switch","100.66.144.131","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SharePointVIP1","100.66.144.132","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SkypeVIP","100.66.144.133","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SharePointVIP2","100.66.144.134","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","Reserved","100.66.144.135","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","Reserved","100.66.144.136","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SQLFailover","100.66.144.137","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SQLServer1","100.66.144.138","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SQLServer2","100.66.144.139","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","Cluster","100.66.144.140","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","OfficeOnelineCluster","100.66.144.141","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","Witness","100.66.144.142","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SharePointFE1","100.66.144.143","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SharePointFE2","100.66.144.144","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","OfficeOnlineServer1","100.66.144.145","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","OfficeOnlineServer2","100.66.144.146","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SkypeFE1","100.66.144.147","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SkypeFE2","100.66.144.148","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SkypeFE3","100.66.144.149","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SharePointApp1","100.66.144.150","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SharePointApp2","100.66.144.151","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SQLServer1Skype","100.66.144.152","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SQLServer2Skype","100.66.144.153","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","SQLSkypeClusterIP","100.66.144.154","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","IPForClusterSQLSkype","100.66.144.155","1","/26","255.255.255.192","Assignment"
"100.66.144.128/26","msu-compute","302","Unused Range","100.66.144.156 - 100.66.144.190","35","/26","255.255.255.192","Unused"
"100.66.144.128/26","msu-compute","302","Broadcast","100.66.144.191","1","/26","255.255.255.192","Broadcast"
"100.66.144.192/26","Available","","Available Range","100.66.144.193 - 100.66.144.254","62","/26","255.255.255.192","Available"
"100.69.200.0/26","csu-exchange-management","301","Network","100.69.200.0","1","/26","255.255.255.192","Network"
"100.69.200.0/26","csu-exchange-management","301","Gateway","100.69.200.1","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","TOR1-Switch","100.69.200.2","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","TOR2-Switch","100.69.200.3","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","ExchangeNode1","100.69.200.4","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","ExchangeNode2","100.69.200.5","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","ExchangeNode3","100.69.200.6","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","ExchangeNode4","100.69.200.7","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host1Management1","100.69.200.8","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host1Management2","100.69.200.9","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host1Management3","100.69.200.10","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host1Management4","100.69.200.11","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host1Management5","100.69.200.12","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host1Management6","100.69.200.13","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host2Management1","100.69.200.14","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host2Management2","100.69.200.15","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host2Management3","100.69.200.16","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host2Management4","100.69.200.17","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host2Management5","100.69.200.18","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host2Management6","100.69.200.19","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host3Management1","100.69.200.20","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host3Management2","100.69.200.21","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host3Management3","100.69.200.22","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host3Management4","100.69.200.23","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host3Management5","100.69.200.24","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host3Management6","100.69.200.25","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host4Management1","100.69.200.26","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host4Management2","100.69.200.27","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host4Management3","100.69.200.28","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host4Management4","100.69.200.29","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host4Management5","100.69.200.30","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Host4Management6","100.69.200.31","1","/26","255.255.255.192","Assignment"
"100.69.200.0/26","csu-exchange-management","301","Unused Range","100.69.200.32 - 100.69.200.62","31","/26","255.255.255.192","Unused"
"100.69.200.0/26","csu-exchange-management","301","Broadcast","100.69.200.63","1","/26","255.255.255.192","Broadcast"
"100.69.200.64/27","csu-edge-transport-management","101","Network","100.69.200.64","1","/27","255.255.255.224","Network"
"100.69.200.64/27","csu-edge-transport-management","101","Gateway","100.69.200.65","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","TOR1-Switch","100.69.200.66","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","TOR2-Switch","100.69.200.67","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","EdgeTransportNode1","100.69.200.68","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","EdgeTransportNode2","100.69.200.69","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host1Management1","100.69.200.70","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host1Management2","100.69.200.71","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host1Management3","100.69.200.72","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host1Management4","100.69.200.73","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host1Management5","100.69.200.74","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host1Management6","100.69.200.75","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host2Management1","100.69.200.76","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host2Management2","100.69.200.77","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host2Management3","100.69.200.78","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host2Management4","100.69.200.79","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host2Management5","100.69.200.80","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Host2Management6","100.69.200.81","1","/27","255.255.255.224","Assignment"
"100.69.200.64/27","csu-edge-transport-management","101","Unused Range","100.69.200.82 - 100.69.200.94","13","/27","255.255.255.224","Unused"
"100.69.200.64/27","csu-edge-transport-management","101","Broadcast","100.69.200.95","1","/27","255.255.255.224","Broadcast"
"100.69.200.96/27","msu-management","201","Network","100.69.200.96","1","/27","255.255.255.224","Network"
"100.69.200.96/27","msu-management","201","Gateway","100.69.200.97","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","TOR1-Switch","100.69.200.98","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","TOR2-Switch","100.69.200.99","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode1","100.69.200.100","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode2","100.69.200.101","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode3","100.69.200.102","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode4","100.69.200.103","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode5","100.69.200.104","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode6","100.69.200.105","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode7","100.69.200.106","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","MSUNode8","100.69.200.107","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","Management1","100.69.200.108","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","Management2","100.69.200.109","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","Management3","100.69.200.110","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","Management4","100.69.200.111","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","Management5","100.69.200.112","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","Management6","100.69.200.113","1","/27","255.255.255.224","Assignment"
"100.69.200.96/27","msu-management","201","Unused Range","100.69.200.114 - 100.69.200.126","13","/27","255.255.255.224","Unused"
"100.69.200.96/27","msu-management","201","Broadcast","100.69.200.127","1","/27","255.255.255.224","Broadcast"
"172.22.57.0/28","Optional-Infrastructure-Management","402","Network","172.22.57.0","1","/28","255.255.255.240","Network"
"172.22.57.0/28","Optional-Infrastructure-Management","402","Gateway","172.22.57.1","1","/28","255.255.255.240","Assignment"
"172.22.57.0/28","Optional-Infrastructure-Management","402","TOR1-Switch","172.22.57.2","1","/28","255.255.255.240","Assignment"
"172.22.57.0/28","Optional-Infrastructure-Management","402","TOR2-Switch","172.22.57.3","1","/28","255.255.255.240","Assignment"
"172.22.57.0/28","Optional-Infrastructure-Management","402","Optional-AD","172.22.57.4","1","/28","255.255.255.240","Assignment"
"172.22.57.0/28","Optional-Infrastructure-Management","402","RDP-JumpBox","172.22.57.5","1","/28","255.255.255.240","Assignment"
"172.22.57.0/28","Optional-Infrastructure-Management","402","Unused Range","172.22.57.6 - 172.22.57.14","9","/28","255.255.255.240","Unused"
"172.22.57.0/28","Optional-Infrastructure-Management","402","Broadcast","172.22.57.15","1","/28","255.255.255.240","Broadcast"
"172.22.57.16/28","Available","","Available Range","172.22.57.17 - 172.22.57.30","14","/28","255.255.255.240","Available"
"172.22.57.32/27","Available","","Available Range","172.22.57.33 - 172.22.57.62","30","/27","255.255.255.224","Available"
"172.22.57.64/26","Available","","Available Range","172.22.57.65 - 172.22.57.126","62","/26","255.255.255.192","Available"
"172.22.57.128/25","Available","","Available Range","172.22.57.129 - 172.22.57.254","126","/25","255.255.255.128","Available"
"100.71.92.64/26","BMC-Management","125","Network","100.71.92.64","1","/26","255.255.255.192","Network"
"100.71.92.64/26","BMC-Management","125","Gateway","100.71.92.65","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node1-BMC","100.71.92.66","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node2-BMC","100.71.92.67","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node3-BMC","100.71.92.68","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node4-BMC","100.71.92.69","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node5-BMC","100.71.92.70","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node6-BMC","100.71.92.71","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node7-BMC","100.71.92.72","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node8-BMC","100.71.92.73","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node9-BMC","100.71.92.74","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node10-BMC","100.71.92.75","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node11-BMC","100.71.92.76","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node12-BMC","100.71.92.77","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node13-BMC","100.71.92.78","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node14-BMC","100.71.92.79","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node15-BMC","100.71.92.80","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Node16-BMC","100.71.92.81","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Unused Range","100.71.92.82 - 100.71.92.83","2","/26","255.255.255.192","Unused"
"100.71.92.64/26","BMC-Management","125","HyperV-Host-Firewall","100.71.92.84","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","HyperV-Host-LB","100.71.92.85","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Unused Range","100.71.92.86 - 100.71.92.97","12","/26","255.255.255.192","Unused"
"100.71.92.64/26","BMC-Management","125","TOR1-Switch","100.71.92.98","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","TOR2-Switch","100.71.92.99","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Unused Range","100.71.92.100 - 100.71.92.120","21","/26","255.255.255.192","Unused"
"100.71.92.64/26","BMC-Management","125","Firewall1-Management","100.71.92.121","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Firewall2-Management","100.71.92.122","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","LoadBalancer1-Management","100.71.92.123","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","LoadBalancer2-Management","100.71.92.124","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","DVM","100.71.92.125","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","HLH","100.71.92.126","1","/26","255.255.255.192","Assignment"
"100.71.92.64/26","BMC-Management","125","Broadcast","100.71.92.127","1","/26","255.255.255.192","Broadcast"
