"Subnet","Name","Vlan","Label","IP","TotalIPs","Prefix","Mask","Category"
"100.71.92.0/30","TOR1-to-Border1-Point_to_Point","0","Network","100.71.92.0","1","/30","255.255.255.252","Network"
"100.71.92.0/30","TOR1-to-Border1-Point_to_Point","0","Border1-to-TOR1","100.71.92.1","1","/30","255.255.255.252","Assignment"
"100.71.92.0/30","TOR1-to-Border1-Point_to_Point","0","TOR1-to-Border1","100.71.92.2","1","/30","255.255.255.252","Assignment"
"100.71.92.0/30","TOR1-to-Border1-Point_to_Point","0","Broadcast","100.71.92.3","1","/30","255.255.255.252","Broadcast"
"100.71.92.4/30","TOR2-to-Border1-Point_to_Point","0","Network","100.71.92.4","1","/30","255.255.255.252","Network"
"100.71.92.4/30","TOR2-to-Border1-Point_to_Point","0","Border1-to-TOR2","100.71.92.5","1","/30","255.255.255.252","Assignment"
"100.71.92.4/30","TOR2-to-Border1-Point_to_Point","0","TOR2-to-Border1","100.71.92.6","1","/30","255.255.255.252","Assignment"
"100.71.92.4/30","TOR2-to-Border1-Point_to_Point","0","Broadcast","100.71.92.7","1","/30","255.255.255.252","Broadcast"
"100.71.92.8/30","TOR1-to-Border2-Point_to_Point","0","Network","100.71.92.8","1","/30","255.255.255.252","Network"
"100.71.92.8/30","TOR1-to-Border2-Point_to_Point","0","Border2-to-TOR1","100.71.92.9","1","/30","255.255.255.252","Assignment"
"100.71.92.8/30","TOR1-to-Border2-Point_to_Point","0","TOR1-to-Border2","100.71.92.10","1","/30","255.255.255.252","Assignment"
"100.71.92.8/30","TOR1-to-Border2-Point_to_Point","0","Broadcast","100.71.92.11","1","/30","255.255.255.252","Broadcast"
"100.71.92.12/30","TOR2-to-Border2-Point_to_Point","0","Network","100.71.92.12","1","/30","255.255.255.252","Network"
"100.71.92.12/30","TOR2-to-Border2-Point_to_Point","0","Border2-to-TOR2","100.71.92.13","1","/30","255.255.255.252","Assignment"
"100.71.92.12/30","TOR2-to-Border2-Point_to_Point","0","TOR2-to-Border2","100.71.92.14","1","/30","255.255.255.252","Assignment"
"100.71.92.12/30","TOR2-to-Border2-Point_to_Point","0","Broadcast","100.71.92.15","1","/30","255.255.255.252","Broadcast"
"100.71.92.16/28","Available","","Available Range","100.71.92.17 - 100.71.92.30","14","/28","255.255.255.240","Available"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Network","100.71.92.32","1","/28","255.255.255.240","Network"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Firewall","100.71.92.33","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","TOR1-Switch","100.71.92.34","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","TOR2-Switch","100.71.92.35","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Reserved","100.71.92.36","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","MailboxVIP","100.71.92.37","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","EdgeTransportVIP","100.71.92.38","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","MSUVIP","100.71.92.39","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Reserved","100.71.92.40","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Reserved","100.71.92.41","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Reserved","100.71.92.42","1","/28","255.255.255.240","Assignment"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Unused Range","100.71.92.43 - 100.71.92.46","4","/28","255.255.255.240","Unused"
"100.71.92.32/28","DMZ-LoadBalancer-to-Firewall","500","Broadcast","100.71.92.47","1","/28","255.255.255.240","Broadcast"
"100.71.92.48/30","iBGP_Point_to_Point-Switch","400","Network","100.71.92.48","1","/30","255.255.255.252","Network"
"100.71.92.48/30","iBGP_Point_to_Point-Switch","400","TOR1-to-TOR2-Compute","100.71.92.49","1","/30","255.255.255.252","Assignment"
"100.71.92.48/30","iBGP_Point_to_Point-Switch","400","TOR2-to-TOR1-Compute","100.71.92.50","1","/30","255.255.255.252","Assignment"
"100.71.92.48/30","iBGP_Point_to_Point-Switch","400","Broadcast","100.71.92.51","1","/30","255.255.255.252","Broadcast"
"100.71.92.52/32","Loopback-TOR1-Switch","0","TOR1","100.71.92.52","1","/32","255.255.255.255","Assignment"
"100.71.92.53/32","Loopback-TOR2-Switch","0","TOR2","100.71.92.53","1","/32","255.255.255.255","Assignment"
"100.71.92.54/31","Available","","Available Range","100.71.92.54 - 100.71.92.55","2","/31","255.255.255.254","Available"
"100.71.92.56/29","Available","","Available Range","100.71.92.57 - 100.71.92.62","6","/29","255.255.255.248","Available"
"100.66.144.0/26","csu-edge-transport-compute","203","Network","100.66.144.0","1","/26","255.255.255.192","Network"
"100.66.144.0/26","csu-edge-transport-compute","203","Gateway","100.66.144.1","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","TOR1-Switch","100.66.144.2","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","TOR2-Switch","100.66.144.3","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","LoadBalancerVIP","100.66.144.4","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","Reserved","100.66.144.5","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","Reserved","100.66.144.6","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","Reserved","100.66.144.7","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","Reserved","100.66.144.8","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","EdgeTransportServer1","100.66.144.9","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","Reserved","100.66.144.10","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","EdgeTransportServer2","100.66.144.11","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","Reserved","100.66.144.12","1","/26","255.255.255.192","Assignment"
"100.66.144.0/26","csu-edge-transport-compute","203","Unused Range","100.66.144.13 - 100.66.144.62","50","/26","255.255.255.192","Unused"
